Designator,Mid X,Mid Y,Rotation,Layer
C1,140.43,-58.69,270.0,top
C10,131.5,-100.5,90.0,top
C11,160.0,-105.525,270.0,top
C12,170.5,-105.525,90.0,top
C13,140.44,-62.51,270.0,top
C2,138.86,-58.68,270.0,top
C3,130.39,-69.725,90.0,top
C4,136.25,-69.66,90.0,top
C5,161.06,-96.95,270.0,top
C6,169.25,-97.025,270.0,top
C7,167.25,-97.025,270.0,top
C8,132.0,-107.5,90.0,top
C9,142.0,-100.5,90.0,top
D1,140.225,-115.9,0.0,top
D2,160.535,-115.9,0.0,top
H1,205.6,-97.97,0.0,top
H2,194.2,-105.8,0.0,top
H3,92.8,-97.7,0.0,top
H4,106.9,-107.1,0.0,top
J1,150.35,-118.98,0.0,top
J2,104.45,-59.0,90.0,top
J3,175.825,-86.25,0.0,top
J4,132.5,-85.27,0.0,top
Q1,136.5,-96.5,0.0,top
Q2,175.75,-91.0,0.0,top
R1,133.35,-72.4,0.0,top
R10,126.0,-92.675,90.0,top
R11,128.51,-92.675,270.0,top
R12,117.0,-68.25,90.0,top
R13,119.075,-68.25,270.0,top
R14,175.825,-88.0,180.0,top
R15,175.825,-94.5,0.0,top
R16,175.825,-96.25,180.0,top
R17,178.75,-91.0,270.0,top
R2,146.5,-113.25,180.0,top
R3,154.175,-113.25,0.0,top
R4,132.0,-104.175,90.0,top
R5,140.2,-114.3,180.0,top
R6,160.51,-114.3,180.0,top
R7,133.5,-100.5,270.0,top
R8,140.0,-100.5,270.0,top
R9,165.425,-74.5,0.0,top
SW1,133.27,-68.55,90.0,top
SW10,205.390479,-55.081489,148.0,top
SW11,195.5,-67.875,180.0,top
SW12,205.5,-77.875,90.0,top
SW13,195.5,-87.875,0.0,top
SW14,185.5,-77.875,270.0,top
SW15,179.6,-103.725,0.0,top
SW16,150.4,-103.725,0.0,top
SW2,130.66,-115.4,270.0,top
SW3,165.5,-70.5,90.0,top
SW4,95.994868,-57.388254,212.0,top
SW5,105.5,-67.875,180.0,top
SW6,95.5,-77.875,270.0,top
SW7,105.5,-87.875,0.0,top
SW8,115.5,-77.875,90.0,top
SW9,120.5,-103.125,0.0,top
TP1,179.3,-114.2,0.0,top
TP3,175.75,-114.25,0.0,top
TP4,182.75,-114.25,0.0,top
TP5,186.25,-114.25,0.0,top
U1,151.15,-63.22,0.0,top
U2,164.0,-97.025,180.0,top
U3,136.975,-105.405,270.0,top
U4,136.6375,-100.55,180.0,top
U5,165.25,-105.375,270.0,top
